Municipio,Codigo,Gentilico,Prefeito2021,AreaTerritorialKm2,PopulacaoPessoas,DensidadeDemograficaHabKm2,Escolarizacao6a14Anos2010,IDHM2010,MortalidadeInfantilNascidosVivos,ReceitasRealizadas×1000_2023,DespesasEmpenhadas×1000,PIBperCapita2021
Irauçuba,2306108.0,irauçubense,PATRÍCIA MARIA SANTOS BARRETO,1466.412,23915.0,16.31,95.2,0.605,6.06,136756771.0,116877682.8,9009.98
Itaiçaba,2306207.0,itaiçabense,FRANK GOMES FREITAS,213.604,7536.0,35.28,99.5,0.656,14.71,43255779.26,41472823.68,10482.61
Itaitinga,2306256.0,Itaitinguense,PAULO CESAR FEITOSA ARRAIS,153.686,64650.0,420.66,91.4,0.626,10.2,281428167.1,264092827.4,32560.63
Itapajé,2306306.0,itapajeense,MARIA GORETE BARROSO MAGALHAES CAETANO,432.188,46426.0,107.42,97.1,0.623,17.92,205110765.6,215552442.2,11124.48
Itapipoca,2306405.0,itapipoquense,FELIPE SOUZA PINHEIRO,1600.358,131123.0,81.93,97.9,0.64,8.8,698085995.2,637146326.9,13547.33
Itapiúna,2306504.0,itapiunense,FRANCISCO DÁRIO DE OLIVEIRA COELHO,593.231,17841.0,30.07,95.3,0.604,21.98,91449241.3,91730204.93,8246.45
Itarema,2306553.0,itaremense,ELIZEU CHARLES MONTEIRO,714.833,42957.0,60.09,96.6,0.606,11.08,244170338.5,190636495.9,18001.79
Itatira,2306603.0,itatirense,JOSÉ FERREIRA MATEUS,829.626,20424.0,24.62,97.6,0.562,16.19,149709334.0,141064658.1,7903.96
Jaguaretama,2306702.0,jaguaretamense,FRANCISCO GLAIRTON RABELO CUNHA,1826.826,17232.0,9.43,96.7,0.612,-,106991917.2,98906313.46,12498.97
Jaguaribara,2306801.0,jaguaribarense,JOACY ALVES DOS SANTOS JUNIOR,622.963,10356.0,16.62,97.4,0.618,8.2,74383604.63,68263926.3,13298.99
Jaguaribe,2306900.0,jaguaribano,ALEXANDRE GOMES DIOGENES,1877.062,33726.0,17.97,96.4,0.621,13.62,206180658.7,192677003.2,16222.68
Jaguaruana,2307007.0,jaguaruanense,JOSE ELIAS DE OLIVEIRA,854.362,31701.0,37.1,98.4,0.624,9.87,140913845.9,152144578.1,16694.97
Jardim,2307106.0,jardinense,ANIZIARIO JORGE COSTA,544.98,27411.0,50.3,98.4,0.614,19.89,114595490.6,113310101.0,10819.64
Jati,2307205.0,jatiense,MONICA ROSANY PEREIRA MARIANO,368.359,7861.0,21.34,98.1,0.651,-,46701543.84,44354529.15,15917.63
Jijoca de Jericoacoara,2307254.0,jijoquense,LINDBERGH MARTINS,209.029,25555.0,122.26,98.8,0.652,5.09,183857097.8,168753894.6,27106.16
Juazeiro do Norte,2307304.0,juazeirense,GLÊDSON LIMA BEZERRA,258.788,286120.0,1105.62,97.3,0.694,12.11,976313944.5,913803631.2,18381.08
Jucás,2307403.0,jucaense,JOSE EDSONRIVA SOUZA CUNHA,940.336,23922.0,25.44,97.5,0.598,6.73,129279391.1,119305089.5,12801.05
Lavras da Mangabeira,2307502.0,lavrense ou lavraense,RONALDO PEDROSA LIMA,945.263,30802.0,32.59,97.2,0.613,6.97,124375825.7,120857518.2,10906.84
Limoeiro do Norte,2307601.0,limoeirense,JOSÉ MARIA DE OLIVEIRA LUCENA,744.525,59560.0,80.0,98.0,0.682,28.65,241056891.9,237193643.3,23631.38
Madalena,2307635.0,madalenense,MARIA SÔNIA DE OLIVEIRA COSTA,997.781,16896.0,16.93,98.3,0.61,16.85,94578780.38,89876779.05,8728.0
Maracanaú,2307650.0,maracanauense,ROBERTO SOARES PESSOA,105.071,234509.0,2231.91,97.4,0.686,8.2,1380361383.0,1380756309.0,53410.24
Maranguape,2307700.0,maranguapense,ATILA CORDEIRO CAMARA,583.505,105093.0,180.11,94.9,0.659,7.57,399756588.2,399359052.4,12527.08
Marco,2307809.0,marquense,ROGER NEVES AGUIAR,573.61,25799.0,44.98,97.4,0.612,7.55,141656471.6,136184612.2,14052.51
Martinópole,2307908.0,martinolopolitano ou martinolopense,FRANCISCO EDIBERTO DE SOUZA,303.445,10846.0,35.74,97.8,0.599,5.26,69922008.62,63508931.73,8444.53
Massapê,2308005.0,massapeense,ALINE AGUIAR ALBUQUERQUE,567.78,37697.0,66.39,98.3,0.616,11.67,172814083.4,165308655.1,9626.56
Mauriti,2308104.0,mauritiense,ISAAC GOMES DA SILVA JUNIOR,1079.011,45561.0,42.22,98.1,0.605,15.04,189850547.8,177902895.1,10698.7
Meruoca,2308203.0,meruoquense,JOSÉ HERTON ALVES DE SOUSA,151.651,15157.0,99.95,97.8,0.618,5.75,89332707.21,82963953.67,8445.56
Milagres,2308302.0,milagrense,CÍCERO ALVES DE FIGUEIREDO,579.097,25900.0,44.72,96.2,0.628,8.5,127610012.7,107147705.0,10477.64
Milhã,2308351.0,milhaense,LUIZ ALAN PINHEIRO MACÊDO,502.137,14123.0,28.13,97.5,0.626,-,79597032.69,71797596.31,14874.7
Miraíma,2308377.0,miraimense,ANTONIO EDNARDO BRAGA LIMA FILHO,708.678,14196.0,20.03,98.6,0.592,-,70279402.12,64788002.58,8062.95
Missão Velha,2308401.0,missãovelhense,LUIZ ROSEMBERG DANTAS MACÊDO FILHO,613.317,36822.0,60.04,96.8,0.622,3.54,148483348.3,138350096.4,14506.46
Mombaça,2308500.0,mombacense,ORLANDO BENEVIDES CAVALCANTE FILHO,2115.748,37735.0,17.84,96.4,0.582,13.95,181894412.7,163624014.2,10174.82
Monsenhor Tabosa,2308609.0,taboense,FRANCISCO SALOMÃO DE ARAÚJO SOUSA,892.538,17149.0,19.21,99.2,0.61,10.58,110826486.3,100034320.5,9308.34
Morada Nova,2308708.0,morada-novense,JOSÉ VANDERLEY NOGUEIRA,2763.971,61443.0,22.23,97.6,0.61,8.75,271904432.4,289597841.3,20731.68
Moraújo,2308807.0,moraujense,CARLOS ÁQUILA CUNHA DE QUEIROZ,414.446,8254.0,19.92,97.4,0.581,17.54,49355921.98,43846309.21,8555.95
Morrinhos,2308906.0,morrinhense,JERONIMO NETO BRANDÃO,411.586,22753.0,55.28,95.1,0.588,9.09,97571599.71,101785036.2,8462.73
Mucambo,2309003.0,mucambense,FRANCISCO DAS CHAGAS PARENTE AGUIAR,192.19,13666.0,71.11,98.6,0.607,5.38,82028663.62,85857453.06,9016.67
Mulungu,2309102.0,mulunguense,ROBERT VIANA LEITÃO,97.951,10569.0,107.9,96.9,0.607,8.62,59584845.28,53058519.63,11197.64
Nova Olinda,2309201.0,nova-olindense,ÍTALO BRITO ALENCAR ALVES,282.584,15399.0,54.49,97.3,0.625,8.85,85304063.17,74271492.86,10341.85
Nova Russas,2309300.0,nova-russano,GIORDANNA SILVA BRAGA MANO,736.911,30699.0,41.66,98.0,0.614,5.92,201398812.4,179147893.7,10371.24
Novo Oriente,2309409.0,novorientense,JESUINO RODRIGUES DE SAMPAIO NETO,947.44,27545.0,29.07,97.9,0.605,9.62,178948964.7,169606312.4,9854.38
Ocara,2309458.0,ocarense,AMALIA LOPES DE SOUSA,763.075,24493.0,32.1,98.2,0.594,36.73,119041248.5,106529485.7,10972.95
Orós,2309508.0,oroense,JOSÉ RUBENS LIMA VERDE,577.526,19675.0,34.07,97.4,0.636,9.01,100547347.6,93997787.82,10256.74
Pacajus,2309607.0,pacajuense,BRUNO PEREIRA FIGUEIREDO,250.304,70983.0,283.59,98.2,0.659,6.75,271337890.1,270191909.3,18349.45
Pacatuba,2309706.0,pacatubano,CARLOMANO GOMES MARQUES,133.236,81524.0,611.88,94.6,0.675,14.3,294691906.8,303541538.0,14421.49
Pacoti,2309805.0,pacotiense,MARCOS VENICIOS NORJOSA GONZAGA,112.433,11186.0,99.49,96.5,0.635,8.13,67652712.28,64231695.21,12049.56
Pacujá,2309904.0,pacujaense,RAIMUNDO RODRIGUES DE SOUSA FILHO,88.355,6175.0,69.89,98.5,0.621,-,52624329.52,50932536.17,9130.3
Palhano,2310001.0,palhanense,IVANILDO NUNES DA SILVA,436.98,9346.0,21.39,98.1,0.638,20.41,51130882.97,49120236.09,10443.35
Palmácia,2310100.0,palmaciano,DAVID CAMPOS MARTINS,128.896,10242.0,79.46,91.7,0.622,12.2,62495019.02,58743549.67,8494.35
Paracuru,2310209.0,paracuruense,WEMBLEY GOMES COSTA,304.734,38980.0,127.91,97.2,0.637,16.67,169499750.7,167980418.0,15648.56
Paraipaba,2310258.0,paraipabense,ARIANA CORDEIRO FAÇANHA DE AQUINO,289.231,32216.0,111.39,97.8,0.634,8.91,184231233.2,164347573.4,16102.82
Parambu,2310308.0,parambuense,ROMULO MATEUS NORONHA,2313.868,31445.0,13.59,96.6,0.57,13.45,158282562.5,132405931.4,9196.54
Paramoti,2310407.0,paramotiense,ANTONIA TELVÂNIA FERREIRA BRAZ,539.238,10384.0,19.26,98.7,0.583,8.26,57232127.86,54231833.84,9034.57
Pedra Branca,2310506.0,pedra-branquense,MATHEUS PEREIRA MENDES,1302.081,40187.0,30.86,98.1,0.603,17.33,188919397.3,173548783.0,8992.69
Penaforte,2310605.0,penafortense,RAFAEL FERREIRA ANGELO,150.536,8972.0,59.6,96.7,0.646,7.63,50105031.12,48521161.97,13268.38
Pentecoste,2310704.0,pentecostense,JOÃO BOSCO PESSOA TABOSA,1379.836,37813.0,27.4,97.3,0.629,13.76,172534928.8,148486099.2,12741.76
Pereiro,2310803.0,pereirense,RAIMUNDO ESTEVAM NETO,435.868,15274.0,35.04,97.9,0.601,22.47,98518865.08,80276028.74,34273.12
Pindoretama,2310852.0,pindoretamense,JOSÉ MARIA MENDES LEITE,74.033,23391.0,315.95,97.6,0.636,3.72,105261129.1,108094816.0,13110.66
Piquet Carneiro,2310902.0,piquet-carneirense,BISMARCK BARROS BEZERRA,589.601,16616.0,28.18,96.0,0.6,27.59,87581370.82,84347169.0,9418.47
Pires Ferreira,2310951.0,pires-ferreirense,LÍVIA MARIA MESQUITA MORORO MUNIZ MARQUES,244.464,10606.0,43.38,96.8,0.591,9.09,55804044.57,52301272.01,7621.25
Poranga,2311009.0,poranguense,CARLOS ANTONIO RODRIGUES PEREIRA,1310.771,12065.0,9.2,98.8,0.581,15.87,66869889.98,65041369.19,8852.69
Porteiras,2311108.0,porteirense,FABIO PINHEIRO CARDOSO,224.86,17050.0,75.82,97.6,0.622,11.54,90837627.22,89100004.75,12491.62
Potengi,2311207.0,potengiense,FRANCISCO EDSON VERIATO DA SILVA,343.264,8833.0,25.73,92.7,0.562,9.71,47605580.63,45551532.26,9903.27
Potiretama,2311231.0,potiretamense,LUAN DANTAS FELIX,409.137,5974.0,14.6,98.0,0.604,25.64,49537743.3,45579690.5,14998.54
Quiterianópolis,2311264.0,quiterianopolense,FRANCISCA PRISCILLA DUARTE DE FIGUEIREDO,1041.832,20213.0,19.4,98.5,0.594,13.1,151641468.4,136656907.9,8694.35
Quixadá,2311306.0,quixadaense,RICARDO JOSÉ ARAÚJO SILVEIRA,2020.586,84168.0,41.66,95.8,0.659,12.38,344064928.9,356881197.6,12484.6
Quixelô,2311355.0,quixeloense,JOSE ADIL VIEIRA JUNIOR,605.345,15910.0,26.28,97.8,0.591,16.95,97221452.61,89876879.88,12336.81
Quixeramobim,2311405.0,quixeramobinense,CIRILO ANTÔNIO PIMENTA LIMA,3324.987,82177.0,24.71,96.7,0.642,17.38,345917798.0,373020912.6,17008.8
Quixeré,2311504.0,quixereense,ANTÔNIO JOAQUIM GONÇALVES DE OLIVEIRA,613.099,20874.0,34.05,97.5,0.622,7.52,111481580.3,104317720.7,28397.62
Redenção,2311603.0,redencionista,DAVID SANTA CRUZ BENEVIDES,247.989,27214.0,109.74,98.1,0.626,16.71,138299718.6,146733848.2,14018.29
Reriutaba,2311702.0,reriutabense,PEDRO HUMBERTO COELHO MARQUES,372.949,18606.0,49.89,96.7,0.601,13.27,98902637.66,90191920.38,10433.27
Russas,2311801.0,russano,SÁVIO GURGEL NOGUEIRA,1611.091,72928.0,45.27,97.2,0.674,9.91,322448638.9,329736546.9,14563.46
Saboeiro,2311900.0,saboeirense,MARCONDES HERBSTER FERRAZ,1381.274,13854.0,10.03,97.1,0.575,-,77005575.33,70701775.59,10779.74
Salitre,2311959.0,salitrense,DORGIVAL PEREIRA FILHO,806.253,16633.0,20.63,97.3,0.54,15.92,87840144.33,82705965.87,9529.97
Santana do Acaraú,2312007.0,santanense-do-acaraú,FRANCISCO DAS CHAGAS MENDES,972.573,30628.0,31.49,95.4,0.587,13.59,119878692.3,118116567.4,8525.54
Santana do Cariri,2312106.0,santanense-do-cariri,SAMUEL CIDADE WERTON,855.165,16954.0,19.83,97.9,0.612,8.7,85168059.63,87244682.36,8985.52
Santa Quitéria,2312205.0,quiteriense,JOSÉ BRAGA BARROZO,4262.293,40183.0,9.43,97.6,0.616,8.83,186800790.1,170673792.3,14495.07
São Benedito,2312304.0,beneditense,SAUL LIMA MACIEL,350.847,47640.0,135.79,98.1,0.611,11.8,198286227.8,184435790.2,12970.59
São Gonçalo do Amarante,2312403.0,gonçalense,MARCELO FERREIRA TELES,842.635,54143.0,64.25,98.1,0.665,7.24,630691922.7,530290426.9,175103.17
São João do Jaguaribe,2312502.0,jaguaribense,RAIMUNDO CESAR MORAIS MAIA,279.451,5855.0,20.95,99.2,0.654,55.56,40645982.97,37363153.66,14277.9
São Luís do Curu,2312601.0,curuense,FRANCISCO CIPRIANO DE ALMEIDA,122.865,10822.0,88.08,95.4,0.62,27.03,51783886.98,47304682.88,10171.88
Senador Pompeu,2312700.0,pompeuense,ANTÔNIO MAURÍCIO PINHEIRO JUCÁ,956.882,24266.0,25.36,96.4,0.619,7.52,113346378.9,107156616.8,13859.14
Senador Sá,2312809.0,senadorsaense,JOSE MARTINS BARROS JUNIOR,424.642,7262.0,17.1,98.2,0.603,-,53144987.82,48778750.17,8090.43
Sobral,2312908.0,sobralense,IVO FERREIRA GOMES,2068.474,203023.0,98.15,97.9,0.714,14.05,1193613886.0,1207607747.0,25396.38
Solonópole,2313005.0,solonopolense,ANA VLADIA NOGUEIRA PINHEIRO JUCÁ,1535.855,18179.0,11.84,98.6,0.625,11.83,134053434.7,117844359.7,16492.67
Tabuleiro do Norte,2313104.0,tabuleirense,RILDSON RABELO VASCONCELOS,1047.637,30652.0,29.26,97.4,0.645,25.56,129280488.7,117663816.6,14046.37
Tamboril,2313203.0,tamborilense,LUIZ MARCELO MOTA LEITE,2014.543,24815.0,12.32,97.1,0.58,20.35,141922121.1,122183242.8,10773.18
Tarrafas,2313252.0,tarrafense,TERTULIANO CANDIDO MARTINS DE ARAUJO,412.719,7529.0,18.24,96.8,0.576,12.82,42358029.33,39967381.84,10015.43
Tauá,2313302.0,tauaense,PATRÍCIA PEQUENO COSTA GOMES DE AGUIAR,4010.618,61227.0,15.27,97.7,0.633,14.16,426678400.0,389606807.1,12012.28
Tejuçuoca,2313351.0,tejuçuoquense,JOSE ANTUNIZIO DE BRITO,758.707,17154.0,22.61,98.3,0.584,4.46,118160184.9,110738009.7,7006.68
Tianguá,2313401.0,tianguaense,LUIZ MENEZES DE LIMA,909.853,81506.0,89.58,98.0,0.657,12.53,369604561.8,353465695.6,22470.08
Trairi,2313500.0,trairiense,CARLOS GUSTAVO MONTEIRO MOREIRA,928.725,58415.0,62.9,98.1,0.606,12.18,256908426.5,239286455.6,19683.75
Tururu,2313559.0,tururuense,FRANCISCA HILZETE MALVEIRA BATISTA,201.27,15412.0,76.57,96.2,0.606,24.1,72333510.86,67434629.54,8324.01
Ubajara,2313609.0,ubajarense,RENÊ DE ALMEIDA VASCONCELOS,423.673,32767.0,77.34,98.7,0.648,8.73,165361110.7,162533807.2,18190.85
Umari,2313708.0,umariense,ALEX SANDRO RUFINO FERREIRA,263.183,6871.0,26.11,96.5,0.591,-,41881185.88,39364314.94,8971.66
Umirim,2313757.0,umiriense,FELIPE CARLOS UCHÔA SALES RIBEIRO,315.648,17470.0,55.35,95.6,0.587,12.2,83712966.14,80722686.1,8650.25
Uruburetama,2313807.0,uruburetamense,FRANCISCO ALDIR CHAVES DA SILVA,99.4,20189.0,203.11,95.9,0.639,12.86,105758531.7,97605837.22,13475.87
Uruoca,2313906.0,uruoquense,JAN KENNEDY PAIVA AQUINO,697.683,13746.0,19.7,97.7,0.566,5.78,98768102.62,86895204.48,21318.78
Varjota,2313955.0,varjotense,FRANCISCO ELMO BEZERRA MONTE,179.239,18105.0,101.01,96.6,0.611,3.86,116191277.3,106605630.6,20292.61
Várzea Alegre,2314003.0,varzea-alegrense,JOSÉ HELDER MÁXIMO DE CARVALHO,829.976,38984.0,46.97,97.0,0.629,12.38,162255520.0,159354027.2,11395.42
Viçosa do Ceará,2314102.0,viçosense,FRANCISCO JOÃO CARDOSO FILHO,1310.91,59712.0,45.55,96.9,0.571,9.22,267190391.3,233750295.5,9744.18
